,side_effects
2234,"['chest', 'pain', 'spreading', 'jaw', 'shoulder', 'sudden', 'numbness', 'weakness', 'one', 'side', 'body', 'slurred', 'speech', 'swelling', 'legs', 'feeling', 'short', 'breath', 'Fenoprofen', 'may', 'cause', 'serious', 'side', 'effects', 'Stop', 'using', 'fenoprofen', 'call', 'doctor', 'changes', 'vision', 'skin', 'rash', 'matter', 'mild', 'shortness', 'breath', 'even', 'mild', 'exertion', 'swelling', 'rapid', 'weight', 'gain', 'signs', 'stomach', 'bleeding', '--', 'bloody', 'tarry', 'stools', 'coughing', 'blood', 'vomit', 'looks', 'like', 'coffee', 'grounds', 'liver', 'problems', '--', 'nausea', 'upper', 'stomach', 'pain', 'itching', 'tired', 'feeling', 'flu-like', 'symptoms', 'loss', 'appetite', 'dark', 'urine', 'clay-colored', 'stools', 'jaundice', 'yellowing', 'skin', 'eyes', 'kidney', 'problems', '--', 'little', 'urination', 'swelling', 'feet', 'ankles', 'feeling', 'tired', 'low', 'red', 'blood', 'cells', 'anemia', '--', 'pale', 'skin', 'unusual', 'tiredness', 'feeling', 'light-headed', 'cold', 'hands', 'feet', 'Common', 'side', 'effects', 'fenoprofen', 'may', 'include', 'nausea', 'vomiting', 'stomach', 'pain', 'indigestion', 'diarrhea', 'constipation', 'headache', 'dizziness', 'drowsiness', 'tiredness', 'feeling', 'nervous', 'itching', 'sweating', 'ringing', 'ears']"
2235,"['WARNING/CAUTION', 'Even', 'though', 'may', 'rare', 'people', 'may', 'bad', 'sometimes', 'deadly', 'side', 'effects', 'taking', 'drug', 'Tell', 'doctor', 'get', 'medical', 'help', 'right', 'away', 'following', 'signs', 'symptoms', 'may', 'related', 'bad', 'side', 'effect', 'Signs', 'allergic', 'reaction', 'like', 'rash', 'hives', 'itching', 'red', 'swollen', 'blistered', 'peeling', 'skin', 'without', 'fever', 'wheezing', 'tightness', 'chest', 'throat', 'trouble', 'breathing', 'swallowing', 'talking', 'unusual', 'hoarseness', 'swelling', 'mouth', 'face', 'lips', 'tongue', 'throat', 'Signs', 'bleeding', 'like', 'throwing', 'coughing', 'blood', 'vomit', 'looks', 'like', 'coffee', 'grounds', 'blood', 'urine', 'black', 'red', 'tarry', 'stools', 'bleeding', 'gums', 'abnormal', 'vaginal', 'bleeding', 'bruises', 'without', 'cause', 'get', 'bigger', 'bleeding', 'stop', 'Signs', 'kidney', 'problems', 'like', 'unable', 'pass', 'urine', 'change', 'much', 'urine', 'passed', 'blood', 'urine', 'big', 'weight', 'gain', 'Signs', 'high', 'blood', 'pressure', 'like', 'bad', 'headache', 'dizziness', 'passing', 'change', 'eyesight', 'Shortness', 'breath', 'big', 'weight', 'gain', 'swelling', 'arms', 'legs', 'Chest', 'pain', 'pressure', 'fast', 'heartbeat', 'Weakness', '1', 'side', 'body', 'trouble', 'speaking', 'thinking', 'change', 'balance', 'drooping', 'one', 'side', 'face', 'blurred', 'eyesight', 'Feeling', 'tired', 'weak', 'Ringing', 'ears', 'Change', 'eyesight', 'Very', 'upset', 'stomach', 'throwing', 'Very', 'bad', 'belly', 'pain', 'Very', 'bad', 'back', 'pain', 'A', 'bad', 'skin', 'reaction', 'Stevens-Johnson', 'syndrome', 'toxic', 'epidermal', 'necrolysis', 'may', 'happen', 'It', 'cause', 'bad', 'health', 'problems', 'may', 'go', 'away', 'sometimes', 'death', 'Get', 'medical', 'help', 'right', 'away', 'signs', 'like', 'red', 'swollen', 'blistered', 'peeling', 'skin', 'without', 'fever', 'red', 'irritated', 'eyes', 'sores', 'mouth', 'throat', 'nose', 'eyes', 'Fenortho', 'side', 'effects']"
2236,['nan']
2237,"['chest', 'pain', 'spreading', 'jaw', 'shoulder', 'sudden', 'numbness', 'weakness', 'one', 'side', 'body', 'slurred', 'speech', 'feeling', 'short', 'breath', 'Flurbiprofen', 'may', 'cause', 'serious', 'side', 'effects', 'Stop', 'using', 'flurbiprofen', 'call', 'doctor', 'changes', 'vision', 'skin', 'rash', 'matter', 'mild', 'shortness', 'breath', 'even', 'mild', 'exertion', 'swelling', 'rapid', 'weight', 'gain', 'signs', 'stomach', 'bleeding', '--', 'bloody', 'tarry', 'stools', 'coughing', 'blood', 'vomit', 'looks', 'like', 'coffee', 'grounds', 'liver', 'problems', '--', 'loss', 'appetite', 'stomach', 'pain', 'upper', 'right', 'side', 'tiredness', 'itching', 'dark', 'urine', 'clay-colored', 'stools', 'jaundice', 'yellowing', 'skin', 'eyes', 'kidney', 'problems', '--', 'little', 'urination', 'swelling', 'feet', 'ankles', 'feeling', 'tired', 'short', 'breath', 'low', 'red', 'blood', 'cells', 'anemia', '--', 'pale', 'skin', 'unusual', 'tiredness', 'feeling', 'light-headed', 'short', 'breath', 'cold', 'hands', 'feet', 'Common', 'side', 'effects', 'flurbiprofen', 'may', 'include', 'indigestion', 'stomach', 'pain', 'nausea', 'vomiting', 'confusion', 'tremors', 'feeling', 'nervous', 'diarrhea', 'constipation', 'headache', 'dizziness', 'drowsiness', 'increased', 'sweating', 'itching', 'rash', 'ringing', 'ears']"
2238,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Gelsyn-3', 'may', 'cause', 'serious', 'side', 'effects', 'Call', 'doctor', 'severe', 'pain', 'swelling', 'around', 'knee', 'injection', 'Common', 'side', 'effects', 'Gelsyn-3', 'may', 'include', 'warmth', 'pain', 'redness', 'stiffness', 'bruising', 'puffiness', 'medicine', 'injected', 'nausea', 'stomach', 'pain', 'trouble', 'walking', 'swelling', 'hands', 'feet', 'back', 'pain', 'joint', 'pain', 'muscle', 'pain', 'numbness', 'tingly', 'feeling', 'headache', 'dizziness', 'runny', 'stuffy', 'nose', 'sneezing', 'sore', 'throat']"
2239,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Although', 'side', 'effects', 'known', 'Glucoten', 'thought', 'possibly', 'safe', 'taken', '2', 'years', 'Stop', 'using', 'Glucoten', 'call', 'healthcare', 'provider', 'irregular', 'heartbeats', 'swelling', 'legs', 'Common', 'side', 'effects', 'Glucoten', 'may', 'include', 'nausea', 'diarrhea', 'constipation', 'stomach', 'pain', 'gas', 'bloating', 'hair', 'loss', 'puffy', 'eyelids']"
2240,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'This', 'medicine', 'may', 'cause', 'serious', 'side', 'effects', 'Stop', 'using', 'medicine', 'call', 'doctor', 'redness', 'swelling', 'treated', 'area', 'increased', 'pain', 'severe', 'burning', 'skin', 'irritation', 'rash', 'itching', 'pain', 'blistering', 'Less', 'serious', 'side', 'effects', 'may', 'likely', 'may', 'none']"
2241,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'This', 'medicine', 'may', 'cause', 'serious', 'side', 'effects', 'Stop', 'using', 'medicine', 'call', 'doctor', 'redness', 'swelling', 'treated', 'area', 'increased', 'pain', 'severe', 'burning', 'skin', 'irritation', 'rash', 'itching', 'pain', 'blistering', 'Less', 'serious', 'side', 'effects', 'may', 'likely', 'may', 'none']"
2242,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Hyalgan', 'may', 'cause', 'serious', 'side', 'effects', 'Call', 'doctor', 'severe', 'pain', 'swelling', 'around', 'knee', 'injection', 'Common', 'side', 'effects', 'Hyalgan', 'may', 'include', 'warmth', 'pain', 'redness', 'stiffness', 'bruising', 'puffiness', 'medicine', 'injected', 'nausea', 'stomach', 'pain', 'trouble', 'walking', 'swelling', 'hands', 'feet', 'back', 'pain', 'joint', 'pain', 'muscle', 'pain', 'numbness', 'tingly', 'feeling', 'headache', 'dizziness', 'runny', 'stuffy', 'nose', 'sneezing', 'sore', 'throat']"
2243,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Call', 'doctor', 'severe', 'pain', 'swelling', 'around', 'knee', 'injection', 'Common', 'side', 'effects', 'hylan', 'G-F', '20', 'may', 'include', 'warmth', 'redness', 'pain', 'stiffness', 'swelling', 'puffiness', 'medicine', 'injected', 'muscle', 'pain', 'trouble', 'walking', 'fever', 'chills', 'nausea', 'prickly', 'feeling', 'skin', 'headache', 'dizziness', 'itching', 'skin', 'irritation', 'around', 'knee']"
2244,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Hymovis', 'may', 'cause', 'serious', 'side', 'effects', 'Call', 'doctor', 'bleeding', 'increased', 'knee', 'pain', 'signs', 'infection', 'warmth', 'swelling', 'redness', 'around', 'knee', 'Common', 'side', 'effects', 'Hymovis', 'may', 'include', 'joint', 'pain', 'stiffness', 'swelling', 'itching', 'numbness', 'tingling', 'headache', 'dizziness', 'back', 'pain', 'swelling', 'pain', 'redness', 'mild', 'discomfort', 'medicine', 'injected']"
2245,"['chest', 'pain', 'spreading', 'jaw', 'shoulder', 'sudden', 'numbness', 'weakness', 'one', 'side', 'body', 'slurred', 'speech', 'feeling', 'short', 'breath', 'Meclofenamate', 'may', 'cause', 'serious', 'side', 'effects', 'Stop', 'using', 'meclofenamate', 'call', 'doctor', 'skin', 'rash', 'matter', 'mild', 'shortness', 'breath', 'even', 'mild', 'exertion', 'swelling', 'rapid', 'weight', 'gain', 'nausea', 'diarrhea', 'flu-like', 'symptoms', 'fever', 'swollen', 'glands', 'muscle', 'aches', 'severe', 'weakness', 'signs', 'stomach', 'bleeding', '--', 'bloody', 'tarry', 'stools', 'coughing', 'blood', 'vomit', 'looks', 'like', 'coffee', 'grounds', 'liver', 'problems', '--', 'loss', 'appetite', 'stomach', 'pain', 'upper', 'right', 'side', 'tiredness', 'itching', 'dark', 'urine', 'clay-colored', 'stools', 'jaundice', 'yellowing', 'skin', 'eyes', 'kidney', 'problems', '--', 'little', 'urination', 'swelling', 'feet', 'ankles', 'feeling', 'tired', 'short', 'breath', 'low', 'red', 'blood', 'cells', 'anemia', '--', 'pale', 'skin', 'unusual', 'tiredness', 'feeling', 'light-headed', 'short', 'breath', 'cold', 'hands', 'feet', 'Older', 'adults', 'may', 'likely', 'symptoms', 'stomach', 'bleeding', 'Common', 'side', 'effects', 'meclofenamate', 'may', 'include', 'indigestion', 'stomach', 'pain', 'nausea', 'diarrhea', 'constipation', 'dizziness']"
2246,"['hives', 'difficulty', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Wash', 'skin', 'get', 'medical', 'attention', 'right', 'away', 'severe', 'burning', 'pain', 'swelling', 'blistering', 'skin', 'applied', 'Menthac', 'Arthritis', 'Cream', 'Capsaicin', 'Menthac', 'Arthritis', 'Cream', 'Capsaicin', 'may', 'cause', 'serious', 'side', 'effects', 'Stop', 'using', 'Menthac', 'Arthritis', 'Cream', 'Capsaicin', 'call', 'doctor', 'severe', 'pain', 'skin', 'redness', 'medicine', 'applied', 'loss', 'feeling', 'trouble', 'breathing', 'swallowing', 'accidental', 'inhalation', 'capsaicin', 'odor', 'dried', 'residue', 'Common', 'side', 'effects', 'may', 'include', 'pain', 'burning', 'sensation', 'last', 'several', 'hours', 'days', 'especially', 'first', 'use', 'capsaicin', 'topical']"
2247,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'This', 'medicine', 'may', 'cause', 'serious', 'side', 'effects', 'Stop', 'using', 'medicine', 'call', 'doctor', 'redness', 'swelling', 'treated', 'area', 'increased', 'pain', 'severe', 'burning', 'skin', 'irritation', 'rash', 'itching', 'pain', 'blistering', 'Less', 'serious', 'side', 'effects', 'may', 'likely', 'may', 'none']"
2248,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'This', 'medicine', 'may', 'cause', 'serious', 'side', 'effects', 'Stop', 'using', 'medicine', 'call', 'doctor', 'redness', 'swelling', 'treated', 'area', 'increased', 'pain', 'severe', 'burning', 'skin', 'irritation', 'rash', 'itching', 'pain', 'blistering', 'Less', 'serious', 'side', 'effects', 'may', 'likely', 'may', 'none']"
2249,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Monovisc', 'may', 'cause', 'serious', 'side', 'effects', 'Call', 'doctor', 'bleeding', 'increased', 'knee', 'pain', 'signs', 'infection', 'warmth', 'swelling', 'redness', 'around', 'knee', 'Common', 'side', 'effects', 'Monovisc', 'may', 'include', 'joint', 'pain', 'stiffness', 'swelling', 'itching', 'numbness', 'tingling', 'headache', 'dizziness', 'back', 'pain', 'swelling', 'pain', 'redness', 'mild', 'discomfort', 'medicine', 'injected']"
2250,"['WARNING/CAUTION', 'Even', 'though', 'may', 'rare', 'people', 'may', 'bad', 'sometimes', 'deadly', 'side', 'effects', 'taking', 'drug', 'Tell', 'doctor', 'get', 'medical', 'help', 'right', 'away', 'following', 'signs', 'symptoms', 'may', 'related', 'bad', 'side', 'effect', 'Signs', 'allergic', 'reaction', 'like', 'rash', 'hives', 'itching', 'red', 'swollen', 'blistered', 'peeling', 'skin', 'without', 'fever', 'wheezing', 'tightness', 'chest', 'throat', 'trouble', 'breathing', 'swallowing', 'talking', 'unusual', 'hoarseness', 'swelling', 'mouth', 'face', 'lips', 'tongue', 'throat', 'Irritation', 'Myoflex', 'trolamine', 'cream', 'lotion', 'used', 'Redness', 'Myoflex', 'side', 'effects']"
2251,"['chest', 'pain', 'spreading', 'jaw', 'shoulder', 'sudden', 'numbness', 'weakness', 'one', 'side', 'body', 'slurred', 'speech', 'swelling', 'legs', 'feeling', 'short', 'breath', 'Nalfon', 'may', 'cause', 'serious', 'side', 'effects', 'Stop', 'using', 'Nalfon', 'call', 'doctor', 'changes', 'vision', 'skin', 'rash', 'matter', 'mild', 'shortness', 'breath', 'even', 'mild', 'exertion', 'swelling', 'rapid', 'weight', 'gain', 'signs', 'stomach', 'bleeding', '--', 'bloody', 'tarry', 'stools', 'coughing', 'blood', 'vomit', 'looks', 'like', 'coffee', 'grounds', 'liver', 'problems', '--', 'nausea', 'upper', 'stomach', 'pain', 'itching', 'tired', 'feeling', 'flu-like', 'symptoms', 'loss', 'appetite', 'dark', 'urine', 'clay-colored', 'stools', 'jaundice', 'yellowing', 'skin', 'eyes', 'kidney', 'problems', '--', 'little', 'urination', 'swelling', 'feet', 'ankles', 'feeling', 'tired', 'low', 'red', 'blood', 'cells', 'anemia', '--', 'pale', 'skin', 'unusual', 'tiredness', 'feeling', 'light-headed', 'cold', 'hands', 'feet', 'Common', 'side', 'effects', 'Nalfon', 'may', 'include', 'nausea', 'vomiting', 'stomach', 'pain', 'indigestion', 'diarrhea', 'constipation', 'headache', 'dizziness', 'drowsiness', 'tiredness', 'feeling', 'nervous', 'itching', 'sweating', 'ringing', 'ears']"
2252,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Although', 'side', 'effects', 'known', 'OptiFlex', 'Complete', 'thought', 'possibly', 'safe', 'taken', '2', 'years', 'Stop', 'using', 'OptiFlex', 'Complete', 'call', 'healthcare', 'provider', 'irregular', 'heartbeats', 'swelling', 'legs', 'Common', 'side', 'effects', 'OptiFlex', 'Complete', 'may', 'include', 'nausea', 'diarrhea', 'constipation', 'stomach', 'pain', 'gas', 'bloating', 'hair', 'loss', 'puffy', 'eyelids']"
2253,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Although', 'side', 'effects', 'known', 'Pryflex', 'thought', 'possibly', 'safe', 'taken', '2', 'years', 'Stop', 'using', 'Pryflex', 'call', 'healthcare', 'provider', 'irregular', 'heartbeats', 'swelling', 'legs', 'Common', 'side', 'effects', 'Pryflex', 'may', 'include', 'nausea', 'diarrhea', 'constipation', 'stomach', 'pain', 'gas', 'bloating', 'hair', 'loss', 'puffy', 'eyelids']"
2254,"['WARNING/CAUTION', 'Even', 'though', 'may', 'rare', 'people', 'may', 'bad', 'sometimes', 'deadly', 'side', 'effects', 'taking', 'drug', 'Tell', 'doctor', 'get', 'medical', 'help', 'right', 'away', 'following', 'signs', 'symptoms', 'may', 'related', 'bad', 'side', 'effect', 'Signs', 'allergic', 'reaction', 'like', 'rash', 'hives', 'itching', 'red', 'swollen', 'blistered', 'peeling', 'skin', 'without', 'fever', 'wheezing', 'tightness', 'chest', 'throat', 'trouble', 'breathing', 'swallowing', 'talking', 'unusual', 'hoarseness', 'swelling', 'mouth', 'face', 'lips', 'tongue', 'throat', 'Signs', 'bleeding', 'like', 'throwing', 'coughing', 'blood', 'vomit', 'looks', 'like', 'coffee', 'grounds', 'blood', 'urine', 'black', 'red', 'tarry', 'stools', 'bleeding', 'gums', 'abnormal', 'vaginal', 'bleeding', 'bruises', 'without', 'cause', 'get', 'bigger', 'bleeding', 'stop', 'Signs', 'kidney', 'problems', 'like', 'unable', 'pass', 'urine', 'change', 'much', 'urine', 'passed', 'blood', 'urine', 'big', 'weight', 'gain', 'Signs', 'high', 'potassium', 'levels', 'like', 'heartbeat', 'feel', 'normal', 'feeling', 'confused', 'feeling', 'weak', 'lightheaded', 'dizzy', 'feeling', 'like', 'passing', 'numbness', 'tingling', 'shortness', 'breath', 'Signs', 'high', 'blood', 'pressure', 'like', 'bad', 'headache', 'dizziness', 'passing', 'change', 'eyesight', 'Shortness', 'breath', 'big', 'weight', 'gain', 'swelling', 'arms', 'legs', 'Chest', 'pain', 'pressure', 'Weakness', '1', 'side', 'body', 'trouble', 'speaking', 'thinking', 'change', 'balance', 'drooping', 'one', 'side', 'face', 'blurred', 'eyesight', 'Feeling', 'tired', 'weak', 'Ringing', 'ears', 'Flu-like', 'signs', 'A', 'bad', 'skin', 'reaction', 'Stevens-Johnson', 'syndrome', 'toxic', 'epidermal', 'necrolysis', 'may', 'happen', 'It', 'cause', 'bad', 'health', 'problems', 'may', 'go', 'away', 'sometimes', 'death', 'Get', 'medical', 'help', 'right', 'away', 'signs', 'like', 'red', 'swollen', 'blistered', 'peeling', 'skin', 'without', 'fever', 'red', 'irritated', 'eyes', 'sores', 'mouth', 'throat', 'nose', 'eyes', 'Relafen', 'DS', 'side', 'effects']"
2255,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Although', 'side', 'effects', 'known', 'Relamine', 'thought', 'possibly', 'safe', 'taken', '2', 'years', 'Stop', 'using', 'Relamine', 'call', 'healthcare', 'provider', 'irregular', 'heartbeats', 'swelling', 'legs', 'Common', 'side', 'effects', 'Relamine', 'may', 'include', 'nausea', 'diarrhea', 'constipation', 'stomach', 'pain', 'gas', 'bloating', 'hair', 'loss', 'puffy', 'eyelids']"
2256,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'This', 'medicine', 'may', 'cause', 'serious', 'side', 'effects', 'Stop', 'using', 'medicine', 'call', 'doctor', 'redness', 'swelling', 'treated', 'area', 'increased', 'pain', 'severe', 'burning', 'skin', 'irritation', 'rash', 'itching', 'pain', 'blistering', 'Less', 'serious', 'side', 'effects', 'may', 'likely', 'may', 'none']"
2257,"['hives', 'difficult', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'This', 'medicine', 'may', 'cause', 'serious', 'side', 'effects', 'Stop', 'using', 'medicine', 'call', 'doctor', 'redness', 'swelling', 'treated', 'area', 'increased', 'pain', 'severe', 'burning', 'skin', 'irritation', 'rash', 'itching', 'pain', 'blistering', 'Less', 'serious', 'side', 'effects', 'may', 'likely', 'may', 'none']"
2258,"['hives', 'difficulty', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Wash', 'skin', 'get', 'medical', 'attention', 'right', 'away', 'severe', 'burning', 'pain', 'swelling', 'blistering', 'skin', 'applied', 'Sloan', ""'s"", 'Liniment', 'Stop', 'using', 'Sloan', ""'s"", 'Liniment', 'call', 'doctor', 'severe', 'pain', 'skin', 'redness', 'medicine', 'applied', 'loss', 'feeling', 'trouble', 'breathing', 'swallowing', 'accidental', 'inhalation', 'capsaicin', 'odor', 'dried', 'residue', 'Common', 'side', 'effects', 'may', 'include', 'pain', 'burning', 'sensation', 'last', 'several', 'hours', 'days', 'especially', 'first', 'use', 'capsaicin', 'topical']"
2259,"['Along', 'needed', 'effects', 'medicine', 'may', 'cause', 'unwanted', 'effects', 'Although', 'side', 'effects', 'may', 'occur', 'occur', 'may', 'need', 'medical', 'attention', 'Check', 'doctor', 'nurse', 'immediately', 'following', 'side', 'effects', 'occur', 'More', 'common', 'Difficulty', 'moving', 'muscle', 'pain', 'stiffness', 'pain', 'joints', 'Less', 'common', 'Swelling', 'redness', 'joints', 'Some', 'side', 'effects', 'may', 'occur', 'usually', 'need', 'medical', 'attention', 'These', 'side', 'effects', 'may', 'go', 'away', 'treatment', 'body', 'adjusts', 'medicine', 'Also', 'health', 'care', 'professional', 'may', 'able', 'tell', 'ways', 'prevent', 'reduce', 'side', 'effects', 'Check', 'health', 'care', 'professional', 'following', 'side', 'effects', 'continue', 'bothersome', 'questions', 'Less', 'common', 'Bleeding', 'blistering', 'burning', 'coldness', 'discoloration', 'skin', 'feeling', 'pressure', 'hives', 'infection', 'inflammation', 'itching', 'lumps', 'numbness', 'pain', 'rash', 'redness', 'scarring', 'soreness', 'stinging', 'swelling', 'tenderness', 'tingling', 'ulceration', 'warmth', 'injection', 'site', 'Other', 'side', 'effects', 'listed', 'may', 'also', 'occur', 'patients', 'If', 'notice', 'effects', 'check', 'healthcare', 'professional', 'Call', 'doctor', 'medical', 'advice', 'side', 'effects', 'You', 'may', 'report', 'side', 'effects', 'FDA', '1-800-FDA-1088', 'Supartz', 'FX', 'side', 'effects']"
2260,"['chest', 'pain', 'spreading', 'jaw', 'shoulder', 'sudden', 'numbness', 'weakness', 'one', 'side', 'body', 'slurred', 'speech', 'feeling', 'short', 'breath', 'Tolmetin', 'may', 'cause', 'serious', 'side', 'effects', 'Stop', 'using', 'tolmetin', 'call', 'doctor', 'changes', 'vision', 'shortness', 'breath', 'even', 'mild', 'exertion', 'swelling', 'rapid', 'weight', 'gain', 'skin', 'rash', 'matter', 'mild', 'signs', 'stomach', 'bleeding', '--', 'bloody', 'tarry', 'stools', 'coughing', 'blood', 'vomit', 'looks', 'like', 'coffee', 'grounds', 'liver', 'problems', '--', 'nausea', 'upper', 'stomach', 'pain', 'itching', 'tired', 'feeling', 'flu-like', 'symptoms', 'loss', 'appetite', 'dark', 'urine', 'clay-colored', 'stools', 'jaundice', 'yellowing', 'skin', 'eyes', 'kidney', 'problems', '--', 'little', 'urinating', 'painful', 'difficult', 'urination', 'swelling', 'feet', 'ankles', 'feeling', 'tired', 'short', 'breath', 'low', 'red', 'blood', 'cells', 'anemia', '--', 'pale', 'skin', 'unusual', 'tiredness', 'feeling', 'light-headed', 'short', 'breath', 'cold', 'hands', 'feet', 'Common', 'side', 'effects', 'tolmetin', 'may', 'include', 'indigestion', 'stomach', 'pain', 'nausea', 'vomiting', 'diarrhea', 'gas', 'headache', 'dizziness', 'weakness', 'changes', 'weight']"
2261,"['WARNING/CAUTION', 'Even', 'though', 'may', 'rare', 'people', 'may', 'bad', 'sometimes', 'deadly', 'side', 'effects', 'taking', 'drug', 'Tell', 'doctor', 'get', 'medical', 'help', 'right', 'away', 'following', 'signs', 'symptoms', 'may', 'related', 'bad', 'side', 'effect', 'Signs', 'allergic', 'reaction', 'like', 'rash', 'hives', 'itching', 'red', 'swollen', 'blistered', 'peeling', 'skin', 'without', 'fever', 'wheezing', 'tightness', 'chest', 'throat', 'trouble', 'breathing', 'swallowing', 'talking', 'unusual', 'hoarseness', 'swelling', 'mouth', 'face', 'lips', 'tongue', 'throat', 'Irritation', 'trolamine', 'cream', 'lotion', 'used', 'Redness', 'Trolamine', 'salicylate', 'topical', 'side', 'effects']"
2262,"['WARNING/CAUTION', 'Even', 'though', 'may', 'rare', 'people', 'may', 'bad', 'sometimes', 'deadly', 'side', 'effects', 'taking', 'drug', 'Tell', 'doctor', 'get', 'medical', 'help', 'right', 'away', 'following', 'signs', 'symptoms', 'may', 'related', 'bad', 'side', 'effect', 'Signs', 'allergic', 'reaction', 'like', 'rash', 'hives', 'itching', 'red', 'swollen', 'blistered', 'peeling', 'skin', 'without', 'fever', 'wheezing', 'tightness', 'chest', 'throat', 'trouble', 'breathing', 'swallowing', 'talking', 'unusual', 'hoarseness', 'swelling', 'mouth', 'face', 'lips', 'tongue', 'throat', 'Zostrix', 'Diabetic', 'Foot', 'Pain', 'side', 'effects']"
2263,"['WARNING/CAUTION', 'Even', 'though', 'may', 'rare', 'people', 'may', 'bad', 'sometimes', 'deadly', 'side', 'effects', 'taking', 'drug', 'Tell', 'doctor', 'get', 'medical', 'help', 'right', 'away', 'following', 'signs', 'symptoms', 'may', 'related', 'bad', 'side', 'effect', 'Signs', 'allergic', 'reaction', 'like', 'rash', 'hives', 'itching', 'red', 'swollen', 'blistered', 'peeling', 'skin', 'without', 'fever', 'wheezing', 'tightness', 'chest', 'throat', 'trouble', 'breathing', 'swallowing', 'talking', 'unusual', 'hoarseness', 'swelling', 'mouth', 'face', 'lips', 'tongue', 'throat', 'Zostrix', 'Sports', 'side', 'effects']"
2264,"['hives', 'wheezing', 'difficulty', 'breathing', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Alendronate', 'may', 'cause', 'serious', 'side', 'effects', 'Stop', 'using', 'alendronate', 'call', 'doctor', 'chest', 'pain', 'new', 'worsening', 'heartburn', 'difficulty', 'pain', 'swallowing', 'pain', 'burning', 'ribs', 'back', 'severe', 'heartburn', 'burning', 'pain', 'upper', 'stomach', 'coughing', 'blood', 'new', 'unusual', 'pain', 'thigh', 'hip', 'jaw', 'pain', 'numbness', 'swelling', 'severe', 'joint', 'bone', 'muscle', 'pain', 'low', 'calcium', 'levels', '--', 'muscle', 'spasms', 'contractions', 'numbness', 'tingly', 'feeling', 'around', 'mouth', 'fingers', 'toes', 'Common', 'side', 'effects', 'alendronate', 'may', 'include', 'heartburn', 'upset', 'stomach', 'stomach', 'pain', 'nausea', 'diarrhea', 'constipation', 'bone', 'pain', 'muscle', 'joint', 'pain']"
2265,"['hives', 'itching', 'rash', 'difficult', 'breathing', 'feeling', 'light-headed', 'swelling', 'face', 'lips', 'tongue', 'throat', 'Call', 'doctor', 'new', 'unusual', 'pain', 'thigh', 'hip', 'groin', 'severe', 'pain', 'joints', 'muscles', 'bones', 'skin', 'problems', 'dryness', 'peeling', 'redness', 'itching', 'blisters', 'bumps', 'oozing', 'crusting', 'low', 'levels', 'calcium', 'blood', 'hypocalcemia', 'numbness', 'tingly', 'feeling', 'around', 'mouth', 'fingers', 'toes', 'muscle', 'tightness', 'contraction', 'overactive', 'reflexes', 'Serious', 'infections', 'may', 'occur', 'treatment', 'Prolia', 'Call', 'doctor', 'right', 'away', 'signs', 'infection', 'fever', 'chills', 'night', 'sweats', 'swelling', 'pain', 'tenderness', 'warmth', 'redness', 'anywhere', 'body', 'pain', 'burning', 'urinate', 'increased', 'urgent', 'need', 'urinate', 'severe', 'stomach', 'pain', 'cough', 'feeling', 'short', 'breath', 'Common', 'Prolia', 'side', 'effects', 'may', 'include', 'bladder', 'infection', 'painful', 'difficult', 'urination', 'back', 'pain', 'muscle', 'pain', 'pain', 'arms', 'legs']"
